Gene	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
TRIM49D1	0.1679630725834132	0.0685271958152452	0.0723335869933941	0.0	0.0	0.0	0.0
TRIM5	2.6876310104009504	9.31488960802859	8.933173911432439	8.553853038492694	6.353046595963996	12.802994499116776	12.597729767028348
TRIM50	0.0417554056542451	0.0	0.2347510764439364	0.1148928899289294	0.2167240453604552	0.1314781398375739	0.137091472371564
TRIM51	0.0	0.0	0.0	0.0	0.048126740629013	0.0	0.0
TRIM52	2.4466342567905266	7.437963381603176	3.109391804619063	9.015347910895656	3.53343074276959	13.922005586023236	7.347219855124599
TRIM54	0.1390463232988355	0.0	0.6940064008108275	0.0403470932769645	0.9442805012805928	0.1556033426677921	0.2607479728902354
TRIM55	0.3234131975603264	0.3885643547996734	0.1532229874931603	1.8640986978862684	0.221714771034986	1.3538600851949196	3.9318218996558
TRIM56	14.215419102279242	8.43910728891637	9.969458642695113	14.022972975237764	3.740540547365732	13.993320886934557	8.986763811446735
TRIM58	0.0982775957688926	0.3888609951415533	0.2801172901043561	0.2783033458443251	0.2298814130478545	0.3970131155200684	0.1959522344754352
TRIM59	5.771824049618906	3.505802488832112	2.5392987645969667	4.8103653068565615	0.3193851995824242	8.576079693963518	2.1779645752222163
TRIM6	0.6690490261180052	2.8111673887257864	0.7640874493001556	1.0071759459576326	1.9245009370531945	1.9863269512010424	2.6033646679843123
TRIM6-TRIM34	0.0	0.0	0.0	0.0	0.5558885423486286	0.0	0.1681823237066687
TRIM60	0.0104689429945086	0.1159103164711095	0.0402843497638422	0.0	0.0	0.0	0.0
TRIM61	0.4915035252331803	0.8168129785915371	0.3744705348519245	0.4770436534089072	0.2926197966717982	1.0722064139329814	1.07900461497046
TRIM62	7.225808964826701	9.895413032434424	5.23994651287795	8.635513689671964	2.7126240419109857	8.262577164917309	4.7769808874962845
TRIM63	0.4464492371678017	3.3171288834775847	0.489308956975351	2.935916782572056	0.3485056059125916	0.7577197298488635	0.8260768779272275
TRIM64	0.0	0.0	0.0	0.0	0.0	0.016701903601416	0.0
TRIM64B	0.0371172415581159	0.0	0.0178408782977526	0.0224921401519702	0.0	0.0571925012772926	0.0
TRIM65	12.617115427033353	10.65601094158657	8.385779241639543	7.290296706494324	7.1171632660532245	8.91878361437934	9.020461948098417
TRIM67	0.0683889362889325	0.0	0.0	0.0	0.0	0.0544401308514916	0.005861531654124
TRIM68	9.548137316193332	5.0232937521692005	5.737240330481505	4.2208699682160224	3.261194168349532	6.025472706935238	14.786974577481017
TRIM69	1.3016976069753692	2.45903567636148	0.7086431558661054	4.518696941286602	0.9341509517783436	5.719664887106672	2.9785318556972733
TRIM7	0.0735467950282583	3.5089151428380685	0.639686685018201	1.4782541245149357	0.6200669377284647	1.5597481942726534	0.4666303569930921
TRIM71	0.0583421227678711	0.1828701475032124	0.1154058813791565	0.2798339821912575	0.1112485710081874	0.065445338687575	0.0775586376545034
TRIM72	0.2227460584550876	0.6149819943521169	0.3059209140611144	0.7795426735489154	0.3577391312400734	0.7316918790831359	0.4198423303686541
TRIM73	2.3835349241328943	4.389787258327943	1.5692656646107153	8.480112027993298	1.2866907149661886	8.176263310145576	3.506356872096472
TRIM74	0.6193863066750466	0.8007409358823576	0.4749053961298204	1.427965508095631	0.1954516272299452	1.4753894394419993	0.4363155348626101
TRIM8	49.7439308287859	52.485162070883725	101.9776517289944	52.36379067081288	50.87368823880416	114.107978258482	47.33643139638954
TRIM9	1.2704043066104809	0.5527271895797964	0.1865863185789656	0.1707428851904451	0.0435888068490641	0.2731717934273183	0.4617128051926081
TRIML1	0.0405387351943055	0.0	0.0	0.0	0.0	0.0	0.0
TRIML2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIO	21.715957763571048	25.265565025703665	18.992690508806422	13.089619379878592	14.96297248058795	24.97306036031169	14.18829531784369
TRIOBP	65.79935464267173	38.51452299288773	41.31106773580554	39.06628723430242	27.35175627491672	33.542008524184084	35.220995409503544
TRIP10	65.59778671865885	125.35139550085128	56.05517197210301	41.37432256251768	47.64116684404721	53.70160661301581	24.40676922664864
TRIP11	7.1745723947440485	4.468041670377123	3.553471918524892	3.508563100692041	1.7235681276768953	6.369052770110828	2.7167772589814176
TRIP12	82.02409463237494	74.31647874231489	52.37591268658021	63.16397275547172	34.67437538053561	89.85665360952879	45.77299198152402
TRIP13	21.61692460446412	12.95347314291497	3.0573775327325183	7.7860706206459955	1.8627288001035351	19.30105589093609	11.6616614150221
TRIP4	14.676394171171513	19.269204719510835	15.58605028383822	18.621894093540345	19.970793173497977	30.44217270146124	24.085986187197
TRIP6	136.97705254317782	42.24720705296976	72.0306085234714	36.59294718751993	55.16320861036829	55.660028514451646	20.869758260229908
TRIQK	18.724872664646583	21.00479562025568	37.861137628219325	10.749338512391242	12.618091630512849	27.22835867062705	17.269960212756573
TRIT1	27.32732309339909	10.08125303266274	6.978542697771772	3.715876173869874	5.543782750139189	18.19462357203293	13.881539667807564
TRMT1	20.32571021717496	22.172227135030365	13.432008189378417	26.2807255592208	18.76354437156444	27.54746307386852	24.583517033455177
TRMT10A	3.622153475631364	4.0911980583880085	6.378386188728535	2.5261670352588435	1.7504940714134152	6.1997104987831335	5.5546031931306885
TRMT10B	7.117494679601282	4.217779792127296	2.1446754552804905	4.034911676218757	1.632994574769402	4.818513205350019	5.06441951272422
TRMT10C	25.92618865621388	16.64652467359933	12.804414533500006	16.70391058519977	13.762324364785217	31.608549892067515	10.337335445295889
TRMT11	5.710646748604451	10.073181655918566	5.03754882232741	7.846594866772728	4.614258955208492	8.592376726361909	6.410044432923867
TRMT112	434.5837653051178	231.40989127255747	222.829571528996	219.28559448339576	229.4860759531937	223.8486082662216	280.55499776718256
TRMT12	6.548575073927492	7.087548354491777	5.631091870182228	7.534276934674192	5.829604598795815	8.109779421747639	8.902167447560748
TRMT13	9.762593614536282	8.919409394095554	3.580163702709462	7.038623227565478	2.788219348198444	15.368068526348992	5.27316164815142
TRMT1L	8.719064466101585	6.87443296468887	12.90891793857496	5.868047043291099	5.464958418544524	15.653193743313151	5.240249261320704
TRMT2A	24.06472753044337	7.399890170312378	8.965934253461537	7.716961588201713	9.96351569157516	10.369220373979193	13.1500389888019
TRMT2B	10.793122143577587	11.232065789679554	10.714639828448115	14.593373425105248	5.401564518504832	18.1126294313202	14.357380038767426
TRMT44	1.1203796017914909	2.3004458512787056	0.8970367422901102	2.4660274516695564	0.6884090762675931	2.4257692710963177	1.9596924555403343
TRMT5	6.156377617366967	3.734029289539392	3.4773414762364334	2.2746979083030143	5.9689928810890365	6.231220555464734	3.9421689557174378
TRMT6	17.24773907587898	20.74654260819881	10.495710113022426	16.796289697708993	18.242897423557856	25.278369886087308	18.10883320202934
TRMT61A	19.528858302908382	5.388799494347162	9.157310141846446	6.447665369902348	8.327031098851538	9.945152803441646	8.20619831919772
TRMT61B	12.361812930057926	6.5271223132483085	6.715454612325622	4.974067264851117	5.167806150729573	9.21156293882349	16.153261207749466
TRMU	3.5227496877271065	5.2574999253491415	3.1688902298096617	4.635283748795805	3.90504178493821	7.430341396217012	6.5894708095668255
TRNAU1AP	13.53970382106032	3.0163838670995684	4.555005282157073	4.560154346950305	4.917951213189823	8.51222229117801	3.968144602719775
TRNP1	3.7885349932636863	5.38552265336128	8.322046071196231	5.493762380550394	4.089420950858624	37.30833449772836	10.702047570098973
TRNT1	10.948386117820068	12.846651576081497	9.556420890465562	7.108563692056848	6.420877371002876	12.750352112189647	6.835904634859473
TRO	3.255718682207625	0.0177300052469688	0.4263744014857853	0.6977327652913127	0.0830049357074537	1.4976407458064305	0.3948936090501901
TROAP	40.978227438430814	12.577381479699454	7.389162388414896	14.695344057916753	4.379916388775682	7.1544049935625935	28.30197950492141
TROVE2	15.936116115105309	23.961056353876906	19.950793905736543	19.982277198637195	10.56671522079098	37.45900929453912	15.087112107891071
TRPA1	0.0154636942506374	0.0358327735765728	0.0059713299929692	0.079485304391967	0.0	0.0	0.0304303894581014
TRPC1	1.7399931450097996	3.093579342114364	1.0348838927220412	0.8103657628127297	0.2699255755747223	2.9592255944482164	1.872330446129841
TRPC3	0.0598886836698076	0.1283045363369233	1.382581745074884	0.2048560412198773	0.0504048119136506	0.0663925830548961	0.0
TRPC4	1.3889593692281546	0.3395073202890312	0.7317882320507749	0.024575929241557	0.0	0.1099856391537743	0.0
